hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(64, 32, 64)",128,64,32,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",128,0.001,0.8,0.4,0.2,0.8,1e-05,0.001,0.0,43.93,59.11,39.69,63.11,79.3,79.81
"(128, 16, 128)",128,128,8,4,32,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",128,0.001,0.8,0.6,0.8,0.0,0.001,0.001,1e-05,50.0,48.36,28.05,59.12,74.97,76.51
"(128, 32, 128)",128,64,16,4,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,1.0,1.0,1.0,0.0,0.0,0.0,0.0001,42.51,60.07,40.83,65.73,79.91,80.35
"(64, 32, 64)",32,64,32,5,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.4,0.0,0.8,0.8,0.0001,0.0001,0.0001,46.19,60.07,30.63,63.59,79.34,80.66
"(128, 32, 128)",128,32,32,4,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.005,1.0,0.0,0.4,0.6,0.001,0.0,0.0001,48.22,51.79,29.67,62.1,77.86,79.01
"(64, 32, 64)",64,64,64,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.2,0.8,0.2,0.8,1e-05,1e-05,0.0001,44.99,60.02,33.7,65.16,80.0,80.49
"(256, 32, 256)",32,16,8,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.001,1.0,0.8,0.2,0.4,1e-05,0.0001,0.0001,41.89,64.58,39.61,65.82,80.61,80.89
"(256, 32, 256)",128,32,32,4,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",128,0.0005,0.6,0.0,0.0,0.4,0.0,0.001,0.001,45.46,56.91,37.29,62.76,78.29,79.09
"(128, 16, 128)",128,128,16,4,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.0005,0.6,0.2,0.2,0.6,0.001,0.0001,0.0001,51.31,46.76,25.91,58.47,75.05,75.95
"(256, 32, 256)",128,16,8,4,64,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.2,0.0,0.6,0.4,0.001,0.001,0.0001,49.88,50.48,25.12,60.48,77.33,78.29
"(64, 16, 64)",64,64,32,5,64,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.001,0.4,0.2,0.8,0.6,0.001,1e-05,1e-05,49.75,51.05,25.86,60.39,77.07,78.06
"(128, 32, 128)",64,64,64,4,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.8,0.2,0.8,0.8,0.001,0.0,0.0,48.17,53.51,28.45,61.14,77.24,78.21
"(64, 16, 64)",32,128,64,4,16,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.001,0.8,0.8,1.0,0.8,0.0001,0.0,0.0,42.96,62.75,35.32,66.56,80.48,80.89
"(128, 16, 128)",256,16,64,5,32,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,0.2,0.4,0.4,0.4,0.0,0.0001,0.0,43.76,59.19,37.99,65.16,79.3,79.33
"(128, 32, 128)",256,128,16,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",128,0.005,0.8,1.0,0.0,0.0,1e-05,0.0,0.0001,41.12,63.55,40.7,67.09,80.48,80.73
"(128, 32, 128)",256,16,64,4,16,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.6,0.8,0.8,1.0,1e-05,1e-05,1e-05,43.25,60.45,39.78,65.03,80.13,80.8
"(128, 32, 128)",128,128,16,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.001,0.8,0.0,0.4,0.8,1e-05,0.001,0.001,43.68,58.3,40.66,65.08,79.17,79.72
"(128, 32, 128)",256,32,64,4,64,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.4,0.6,0.4,0.8,0.001,0.001,0.0001,46.72,54.03,31.47,63.15,78.64,79.22
"(64, 16, 64)",64,64,32,5,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.8,0.6,0.6,1.0,0.001,0.0001,0.001,46.28,58.13,33.17,63.41,78.64,79.69
"(128, 32, 128)",64,16,32,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.005,1.0,0.0,0.4,0.6,0.0,0.0001,0.0,44.91,58.97,33.74,62.19,79.26,79.41
"(256, 32, 256)",128,32,32,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.8,0.6,0.4,0.0,1e-05,1e-05,1e-05,43.5,60.4,39.96,64.25,80.57,81.26
"(64, 32, 64)",32,64,32,4,8,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",128,0.005,0.2,0.8,0.4,0.8,0.0001,0.001,0.0001,44.89,63.83,30.85,64.73,81.84,82.56
"(128, 16, 128)",32,128,8,4,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,0.6,0.4,1.0,1.0,0.0,0.0001,0.0,44.98,59.29,35.32,63.85,78.99,79.58
"(64, 32, 64)",128,16,64,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,1.0,1.0,0.6,0.6,0.0001,0.0001,0.001,43.38,59.97,41.58,67.57,79.78,80.1
"(64, 32, 64)",32,128,32,5,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.005,0.4,1.0,0.4,0.0,0.0,0.001,0.0,46.03,57.29,31.77,61.49,78.64,79.07
"(64, 16, 64)",32,64,32,4,8,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,0.6,1.0,0.4,0.6,0.0,0.0,1e-05,47.2,49.15,31.03,60.57,77.64,80.98
"(64, 16, 64)",32,128,8,4,8,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.2,0.8,0.4,0.8,1e-05,0.0,0.0001,45.67,60.75,33.0,61.88,79.91,80.65
"(128, 16, 128)",128,32,16,5,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",128,0.005,1.0,0.8,0.8,0.0,0.0001,0.0,0.0,44.66,57.48,35.75,63.46,78.69,79.02
"(64, 16, 64)",256,16,8,5,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",128,0.005,0.2,0.4,0.6,0.0,0.0,1e-05,1e-05,43.86,61.71,36.98,66.52,80.31,80.89
"(64, 32, 64)",32,128,16,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.6,0.0,0.8,0.6,0.001,0.0,0.0,49.47,50.67,27.09,60.26,76.54,77.6
"(64, 32, 64)",128,128,32,4,16,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.2,0.0,0.2,0.4,1e-05,0.0,0.0,43.79,61.75,38.47,64.29,80.04,81.06
"(128, 16, 128)",256,16,32,4,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.4,0.8,0.4,1.0,0.001,1e-05,0.0001,51.3,48.83,24.2,60.09,76.94,78.53
"(64, 32, 64)",256,16,8,5,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,0.6,0.4,0.8,0.2,1e-05,0.0,0.0,43.68,58.77,40.66,65.91,78.29,78.74
"(64, 32, 64)",64,64,32,5,32,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.2,0.4,0.0,0.6,0.001,0.001,0.0001,49.52,52.89,27.05,59.69,77.94,78.8
"(128, 32, 128)",256,64,8,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.005,0.8,0.0,1.0,0.2,0.001,1e-05,0.0001,47.84,52.7,30.46,61.31,77.11,78.2
"(128, 32, 128)",32,64,16,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.002,1.0,0.4,0.2,0.0,1e-05,0.0,0.0001,41.34,64.16,38.99,66.43,80.88,81.18
"(128, 32, 128)",256,128,8,5,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,1.0,0.8,0.4,1.0,0.0,1e-05,0.0001,41.76,62.5,40.74,66.08,79.52,79.98
"(64, 32, 64)",128,16,64,5,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.4,0.0,0.0,0.6,0.0001,0.001,0.001,42.31,61.85,41.05,66.17,79.12,79.51
"(128, 32, 128)",32,32,8,5,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,1.0,0.6,0.0,0.2,0.0,0.0,0.0001,44.85,59.76,35.36,63.02,79.78,80.42
"(128, 16, 128)",32,128,32,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",128,0.002,0.6,0.6,0.6,0.2,0.001,1e-05,0.0001,46.71,55.57,30.11,62.41,77.86,78.47
"(128, 32, 128)",128,64,32,4,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,0.6,1.0,0.0,0.2,0.001,0.001,0.001,42.47,61.23,38.99,65.73,80.31,80.92
"(128, 16, 128)",32,32,8,5,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.4,0.8,0.6,0.0,1e-05,0.001,0.001,50.63,42.34,29.89,58.34,76.28,80.26
"(128, 32, 128)",32,64,64,4,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.005,1.0,0.0,1.0,0.4,0.0,0.0,0.0,46.31,56.12,33.87,61.62,77.86,79.17
"(64, 16, 64)",128,64,64,5,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.6,0.0,0.2,0.6,0.0001,0.0,0.001,42.22,63.62,40.0,65.38,80.13,80.6
"(128, 32, 128)",32,32,32,5,64,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,1.0,0.4,0.0,1.0,0.0001,1e-05,1e-05,40.66,65.36,41.49,68.01,80.57,80.75
"(64, 32, 64)",128,32,64,4,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.8,0.6,1.0,0.2,0.0,0.0001,0.0,43.31,60.34,37.77,65.21,79.12,79.65
"(64, 32, 64)",256,16,32,5,32,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.001,0.6,0.6,0.8,0.2,0.0001,0.001,0.0,42.0,61.11,38.51,66.48,81.01,81.32
"(128, 32, 128)",32,32,64,4,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.4,0.4,0.8,0.0,0.0,0.001,0.0001,41.89,61.06,41.05,65.73,80.66,80.95
"(128, 16, 128)",128,64,32,4,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.0005,0.4,0.4,0.6,1.0,0.0001,0.001,0.001,40.75,63.86,40.96,66.74,80.96,81.29
"(128, 16, 128)",128,128,64,5,8,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,1.0,0.2,0.8,0.8,0.0001,1e-05,0.0001,41.0,64.14,42.76,67.18,80.48,80.8
"(64, 32, 64)",64,128,16,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.005,0.6,0.0,0.8,0.6,0.001,0.001,0.0001,49.37,51.11,26.08,60.57,77.72,79.29
"(64, 32, 64)",256,128,64,4,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",64,0.001,0.8,0.6,0.6,0.4,0.001,1e-05,0.0001,48.19,52.05,29.32,61.36,77.07,78.04
"(128, 16, 128)",256,16,32,5,32,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,0.2,0.6,0.6,0.0,0.0001,0.0001,0.001,46.08,53.98,37.42,62.98,78.16,78.98
"(64, 32, 64)",128,32,8,4,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",128,0.0005,0.6,0.4,0.8,0.6,0.001,0.0001,1e-05,53.08,32.19,25.6,49.41,73.57,79.88
"(128, 32, 128)",256,64,64,4,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.8,0.0,0.4,0.8,0.0001,0.001,0.0,43.99,61.94,38.07,64.16,79.74,80.84
"(64, 16, 64)",128,16,8,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.001,0.6,1.0,0.0,0.8,0.0001,0.0001,0.001,48.28,42.96,32.17,61.58,76.15,80.64
"(128, 32, 128)",64,128,8,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.6,0.6,0.0,0.4,1e-05,0.0001,1e-05,43.09,62.53,36.85,65.08,79.74,80.61
"(128, 32, 128)",64,64,64,5,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",128,0.005,0.6,0.8,0.4,0.6,0.001,0.0001,0.0,48.0,52.35,28.05,60.7,77.42,78.43
"(128, 32, 128)",128,128,16,4,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.4,1.0,0.0,0.2,0.0001,0.001,1e-05,40.17,65.37,41.58,68.75,82.36,82.53
"(128, 32, 128)",64,128,16,4,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.002,1.0,1.0,0.6,0.2,0.0,1e-05,1e-05,41.42,63.16,41.14,67.0,79.78,80.06
"(64, 32, 64)",256,16,64,4,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.002,0.8,0.8,1.0,0.8,0.0001,0.0001,0.001,42.1,62.16,40.39,65.86,80.26,80.8
"(64, 16, 64)",256,16,16,4,8,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,1.0,1.0,0.4,0.4,0.0001,0.0,1e-05,41.55,61.5,41.09,67.66,79.61,79.52
"(256, 32, 256)",32,128,64,5,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",128,0.001,0.4,0.0,0.2,1.0,1e-05,0.0,1e-05,45.6,58.81,32.69,63.94,78.91,79.69
"(128, 16, 128)",64,16,64,4,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.6,0.0,0.8,1.0,0.0,0.001,0.001,45.11,58.61,38.95,63.72,78.38,79.5
"(64, 16, 64)",64,16,64,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,1.0,1.0,0.0,0.2,1e-05,0.001,0.001,43.58,59.29,39.26,65.43,79.34,79.81
"(64, 32, 64)",256,64,64,5,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.005,0.6,1.0,1.0,0.2,0.0001,0.001,0.001,45.12,56.54,37.11,62.28,80.66,81.28
"(64, 16, 64)",256,16,32,4,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.002,1.0,0.8,0.0,0.4,1e-05,0.001,0.0001,41.66,62.21,41.14,66.56,80.22,80.47
"(128, 16, 128)",64,16,32,4,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",128,0.001,0.4,1.0,0.0,0.0,0.0001,0.0001,0.0001,42.61,63.98,35.84,65.95,81.23,81.44
"(128, 16, 128)",256,16,16,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.002,1.0,0.2,0.2,1.0,0.0001,0.001,1e-05,42.26,63.78,41.97,66.21,81.27,81.67
"(64, 32, 64)",32,64,8,4,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.8,0.8,0.6,1.0,0.0001,0.0,1e-05,42.58,63.54,35.8,67.31,81.01,81.19
"(256, 32, 256)",256,16,64,5,32,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.6,0.2,0.4,0.4,0.0,0.0001,1e-05,42.99,61.07,38.6,64.03,79.61,80.35
"(64, 16, 64)",128,64,8,5,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",128,0.001,0.4,0.2,0.4,0.2,0.001,0.0001,0.001,48.99,52.66,26.83,60.53,77.11,77.96
"(128, 32, 128)",256,16,64,5,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.002,0.4,0.4,0.4,0.0,0.0001,1e-05,0.0,41.17,62.64,42.28,66.74,80.44,80.57
"(128, 32, 128)",32,16,64,4,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.8,0.0,0.2,0.4,0.001,0.0001,0.0001,50.2,48.67,26.74,61.27,76.11,77.25
"(64, 32, 64)",256,32,32,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.002,1.0,0.8,1.0,0.2,0.001,1e-05,0.0001,45.74,55.61,33.04,63.5,78.07,78.96
"(64, 32, 64)",32,128,16,4,32,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.4,1.0,1.0,0.6,1e-05,0.0,0.0,43.14,63.53,35.32,66.08,81.23,81.69
"(128, 16, 128)",32,64,16,4,32,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.6,0.6,0.2,0.2,1e-05,0.0,0.0001,42.7,62.47,38.86,66.96,80.18,80.43
"(64, 16, 64)",64,32,64,5,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",128,0.002,0.8,0.2,0.8,0.4,1e-05,0.0001,0.0001,45.22,57.63,36.5,64.99,78.95,79.53
"(64, 16, 64)",32,64,16,4,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.005,0.2,0.0,0.0,0.0,0.001,1e-05,0.001,59.42,0.73,19.69,41.49,69.19,81.65
"(128, 32, 128)",64,128,8,4,8,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.005,0.4,0.2,0.8,0.6,0.001,1e-05,0.0,50.46,49.41,25.43,60.96,76.63,77.76
"(256, 32, 256)",128,16,32,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.002,1.0,1.0,0.2,0.2,0.001,1e-05,1e-05,44.13,58.72,36.76,65.03,78.99,79.76
"(64, 16, 64)",256,64,64,5,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.001,0.8,0.8,0.2,0.6,0.0,0.001,0.0,42.84,59.9,39.56,65.51,79.17,79.3
"(64, 32, 64)",128,128,32,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.4,0.2,0.0,0.0,1e-05,0.0,0.0,42.91,59.13,40.74,65.12,80.09,80.31
"(64, 16, 64)",256,32,64,4,64,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.6,0.6,0.2,0.2,0.0001,1e-05,0.001,46.12,56.05,36.59,60.13,77.42,78.46
"(128, 32, 128)",32,64,8,5,64,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",64,0.001,1.0,0.4,0.8,0.8,0.0,0.0,0.0001,45.65,58.63,32.6,62.06,77.24,77.96
"(64, 16, 64)",128,64,16,5,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.002,1.0,0.4,0.8,0.0,0.001,1e-05,1e-05,47.45,53.51,31.77,63.33,78.07,78.83
"(128, 32, 128)",128,64,64,5,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.002,0.4,1.0,0.6,1.0,0.0001,0.0001,0.001,41.42,63.47,41.14,67.44,81.01,81.16
"(256, 32, 256)",128,32,64,5,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.2,0.4,0.6,0.8,0.001,0.001,0.0001,50.3,48.45,26.96,60.26,75.93,76.93
"(256, 32, 256)",128,128,16,5,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,1.0,0.6,0.0,0.4,0.001,1e-05,1e-05,45.13,57.94,34.49,64.9,79.26,79.9
"(256, 32, 256)",128,16,8,4,64,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.002,0.8,0.4,0.2,0.2,0.001,0.0,0.001,50.52,42.86,27.92,60.79,76.15,80.15
"(64, 32, 64)",64,128,64,5,8,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.002,1.0,0.0,0.4,0.8,0.0001,0.0001,1e-05,42.76,63.2,36.76,65.69,79.26,79.55
"(64, 32, 64)",64,64,8,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.8,0.6,0.8,0.0,1e-05,0.0,1e-05,43.5,58.97,39.65,64.16,78.16,78.83
"(256, 32, 256)",64,32,8,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.6,0.8,0.0,0.0,0.0001,0.0,0.0001,42.44,61.75,37.16,68.01,80.39,80.61
"(128, 32, 128)",64,32,64,5,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.005,1.0,0.2,0.0,0.2,1e-05,0.001,0.0,42.1,61.04,42.01,66.26,79.04,79.24
