hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(64, 32, 64)",32,64,16,4,16,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",128,0.0005,0.4,0.6,0.4,0.8,0.0001,1e-05,1e-05,46.24,58.6,32.74,61.53,78.07,79.13
"(64, 32, 64)",32,128,64,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.001,1.0,0.6,0.6,0.0,0.0,0.0001,0.0001,45.24,51.83,35.32,61.88,77.11,79.63
"(64, 16, 64)",32,128,8,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.001,0.6,0.6,0.6,0.4,0.001,1e-05,0.001,44.0,60.12,36.32,64.38,79.17,79.64
"(64, 16, 64)",256,128,16,4,32,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.005,1.0,0.2,0.0,1.0,0.0,1e-05,0.0001,42.5,64.14,40.22,64.73,80.09,81.32
"(128, 32, 128)",256,128,8,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.6,0.0,1.0,1.0,0.001,0.001,0.001,48.82,51.56,28.75,62.63,78.16,79.59
"(64, 16, 64)",64,16,8,5,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.8,0.0,0.2,0.8,0.0,0.0,0.0,44.36,59.98,37.81,64.42,79.43,80.39
"(128, 16, 128)",256,32,8,5,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,0.4,0.4,0.2,0.8,1e-05,0.001,0.001,44.5,58.47,40.53,64.55,79.34,80.13
"(64, 16, 64)",32,128,64,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.002,1.0,0.8,0.2,0.4,0.0,0.001,0.001,42.11,63.94,39.82,65.82,79.78,80.57
"(256, 32, 256)",32,32,32,4,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.002,0.6,0.2,1.0,0.8,0.001,0.0001,0.0001,50.62,48.9,25.86,59.74,77.16,78.11
"(64, 16, 64)",64,32,32,4,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.005,0.4,0.2,0.6,0.4,1e-05,0.001,1e-05,43.37,62.88,35.84,64.51,80.09,81.04
"(128, 32, 128)",32,32,64,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,0.6,1.0,0.6,1.0,0.0,0.001,1e-05,40.41,65.3,38.77,67.83,80.7,81.0
"(64, 16, 64)",128,16,16,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.2,0.8,0.2,1.0,0.001,0.001,1e-05,48.12,48.65,29.45,62.76,77.86,80.71
"(64, 32, 64)",128,64,64,4,16,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",128,0.005,0.8,0.8,0.4,0.0,0.0001,1e-05,0.0,41.25,63.21,41.75,66.52,80.26,80.3
"(128, 16, 128)",256,128,64,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.6,0.8,0.4,0.4,1e-05,0.0001,1e-05,42.6,62.63,40.57,66.3,79.78,80.3
"(256, 32, 256)",32,64,32,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.6,0.4,1.0,1.0,0.001,0.0001,0.0,49.08,50.3,28.71,61.66,77.11,78.15
"(64, 32, 64)",256,16,8,5,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",128,0.001,0.8,0.4,0.6,0.4,0.0001,1e-05,0.0001,42.22,60.58,41.27,65.86,79.04,79.33
"(128, 16, 128)",256,16,32,4,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.0005,0.4,0.6,0.2,0.4,0.0001,0.0,0.0,43.44,60.04,39.65,66.52,80.26,80.74
"(128, 16, 128)",256,16,64,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.8,0.6,0.8,1.0,0.0001,0.001,0.0,40.84,64.34,42.1,67.53,81.27,81.46
"(64, 32, 64)",128,64,16,4,16,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",128,0.005,1.0,0.0,0.2,0.4,0.0001,0.0,0.0,44.72,59.24,36.98,64.29,78.42,79.26
"(64, 32, 64)",32,32,32,5,8,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.001,1.0,0.6,1.0,0.0,0.0001,0.0001,1e-05,43.03,61.37,39.96,66.74,80.26,80.67
"(256, 32, 256)",64,32,32,5,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.2,1.0,0.6,0.2,0.0,0.001,0.001,44.88,59.41,33.48,63.54,78.95,79.34
