hidden_dims,text_out,post_fusion_dim,dropouts,batch_size,learning_rate,MAE,Corr,Mult_acc_3,Mult_acc_2,F1_score,loss
"(256, 32, 256)",64,32,"(0.4, 0.4, 0.4, 0.4)",32,0.002,0.4757,0.5256,0.5958,0.7716,0.7861,0.4909
"(64, 32, 64)",64,16,"(0.3, 0.3, 0.3, 0.5)",64,0.001,0.4508,0.5931,0.6099,0.774,0.7797,0.4445
"(64, 32, 64)",64,32,"(0.4, 0.4, 0.4, 0.4)",32,0.005,0.4839,0.5259,0.5665,0.7514,0.7702,0.4493
"(128, 32, 128)",64,32,"(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.4592,0.5773,0.5886,0.774,0.7795,0.4587
"(64, 32, 64)",128,64,"(0.2, 0.2, 0.2, 0.2)",32,0.001,0.4604,0.5557,0.5967,0.7808,0.7854,0.4828
"(128, 32, 128)",64,32,"(0.3, 0.3, 0.3, 0.3)",32,0.002,0.4685,0.565,0.5775,0.7793,0.7868,0.5036
"(128, 32, 128)",128,128,"(0.2, 0.2, 0.2, 0.2)",64,0.001,0.4672,0.5656,0.5746,0.7891,0.795,0.4634
"(128, 32, 128)",256,16,"(0.3, 0.3, 0.3, 0.3)",128,0.001,0.4707,0.5612,0.5785,0.7713,0.7806,0.4707
"(128, 32, 128)",256,32,"(0.3, 0.3, 0.3, 0.5)",128,0.002,0.4807,0.5616,0.5886,0.7678,0.7742,0.4807
"(64, 32, 64)",32,16,"(0.3, 0.3, 0.3, 0.3)",128,0.001,0.4682,0.5616,0.5815,0.7678,0.7758,0.4682
"(64, 32, 64)",32,64,"(0.4, 0.4, 0.4, 0.4)",128,0.005,0.4787,0.5379999999999999,0.5705,0.7643,0.7691,0.4787
"(64, 32, 64)",128,64,"(0.3, 0.3, 0.3, 0.5)",64,0.002,0.465,0.5660000000000001,0.5867,0.7669,0.7781,0.4641
"(64, 16, 64)",32,32,"(0.3, 0.3, 0.3, 0.5)",64,0.005,0.4764,0.5523,0.5582,0.7573,0.7679,0.4786
"(128, 16, 128)",64,64,"(0.4, 0.4, 0.4, 0.4)",64,0.002,0.4777,0.5387,0.5795,0.7859999999999999,0.7947,0.479
"(64, 32, 64)",256,16,"(0.3, 0.3, 0.3, 0.3)",32,0.001,0.4627,0.583,0.5948,0.773,0.7811,0.4622
"(64, 32, 64)",64,64,"(0.3, 0.3, 0.3, 0.5)",32,0.002,0.4734,0.5371,0.5774,0.7675,0.7738,0.4492
"(128, 32, 128)",128,16,"(0.3, 0.3, 0.3, 0.5)",32,0.001,0.4817,0.5401,0.5796,0.7633,0.7715,0.4846
"(256, 32, 256)",64,16,"(0.4, 0.4, 0.4, 0.4)",128,0.001,0.4831,0.5477,0.5846,0.7714,0.7842,0.4831
"(256, 32, 256)",256,64,"(0.3, 0.3, 0.3, 0.5)",64,0.002,0.4717,0.5673,0.5776,0.7593,0.7682,0.46799999999999997
"(128, 16, 128)",32,128,"(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.4647,0.5479,0.6008,0.7644,0.7739,0.4559
"(128, 32, 128)",32,128,"(0.4, 0.4, 0.4, 0.4)",64,0.002,0.4785,0.5572,0.5735,0.7811,0.7904,0.4848
"(64, 16, 64)",128,16,"(0.3, 0.3, 0.3, 0.3)",128,0.005,0.4653,0.5616,0.5976,0.7713,0.7767,0.4653
"(64, 16, 64)",128,16,"(0.4, 0.4, 0.4, 0.4)",64,0.001,0.4612,0.5697,0.6088,0.7738,0.7808,0.4536
"(256, 32, 256)",256,64,"(0.3, 0.3, 0.3, 0.5)",64,0.0005,0.4507,0.5883,0.6069,0.7823,0.7924,0.4473
"(64, 16, 64)",32,128,"(0.3, 0.3, 0.3, 0.3)",64,0.002,0.4781,0.5415,0.5562,0.7835,0.7925,0.4721
"(128, 16, 128)",128,64,"(0.2, 0.2, 0.2, 0.2)",128,0.002,0.4476,0.5898,0.6039,0.7987,0.8054,0.4476
"(128, 32, 128)",128,16,"(0.4, 0.4, 0.4, 0.4)",32,0.002,0.4883,0.517,0.5482,0.7509999999999999,0.7687,0.5101
"(64, 16, 64)",128,64,"(0.4, 0.4, 0.4, 0.4)",128,0.002,0.4845,0.535,0.5703,0.7526,0.7606,0.4845
"(64, 32, 64)",128,64,"(0.2, 0.2, 0.2, 0.2)",128,0.001,0.455,0.5781,0.5937,0.7786,0.7891,0.455
"(256, 32, 256)",64,32,"(0.4, 0.4, 0.4, 0.4)",64,0.001,0.4759,0.5479,0.5682,0.7728,0.7796,0.4824
