hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",3,32,0.002,0.001,0.001,32,4,32,"(0.3, 0.3, 0.3)",0.6,0.4,0.6,0.4,0.0,0.001,0.0001,41.64,66.37,35.54,67.48,82.32,82.69
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",4,128,0.005,0.0001,0.005,8,5,8,"(0.2, 0.2, 0.2)",0.2,1.0,0.4,0.4,1e-05,0.0001,0.0001,42.81,63.47,36.46,66.39,80.61,81.46
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",6,64,0.005,0.001,0.001,8,4,64,"(0.2, 0.2, 0.2)",1.0,0.6,0.2,0.0,1e-05,1e-05,1e-05,41.41,63.86,39.26,66.7,80.92,81.09
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.3)",4,64,0.001,0.0005,0.005,32,4,64,"(0.4, 0.4, 0.4)",0.8,0.8,0.0,0.6,0.0001,1e-05,0.0001,41.31,63.56,40.18,67.13,80.92,81.17
"(64, 16, 64)","(0.2, 0.2, 0.2, 0.2)",3,32,0.0005,0.0005,0.0001,8,4,64,"(0.3, 0.3, 0.3)",0.2,0.6,1.0,0.8,0.0001,0.0,1e-05,40.86,64.1,40.31,67.7,80.57,80.82
"(64, 16, 64)","(0.4, 0.4, 0.4, 0.4)",4,64,0.001,0.0001,0.0001,32,5,8,"(0.3, 0.3, 0.3)",0.2,0.8,0.8,0.4,0.0001,1e-05,0.0001,41.44,64.93,38.34,67.92,81.75,82.08
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",3,64,0.001,0.0001,0.0001,32,4,16,"(0.2, 0.2, 0.2)",0.6,0.8,1.0,0.4,0.0001,0.0001,1e-05,40.62,64.47,40.53,67.7,80.92,80.95
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.3)",3,32,0.0005,0.0001,0.005,64,5,64,"(0.4, 0.4, 0.4)",0.4,0.4,1.0,0.6,0.0,0.0,0.001,42.78,59.2,40.57,65.21,79.21,79.38
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",3,32,0.002,0.0001,0.001,8,5,16,"(0.4, 0.4, 0.4)",0.8,0.4,0.6,0.4,1e-05,0.0001,0.0001,43.34,60.12,40.04,65.56,79.96,80.64
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",3,128,0.005,0.001,0.005,16,4,64,"(0.2, 0.2, 0.2)",0.8,0.2,0.2,0.2,0.0001,1e-05,0.0001,44.48,60.24,36.72,63.46,78.73,80.16
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",3,64,0.001,0.0001,0.0001,64,4,32,"(0.4, 0.4, 0.4)",0.4,1.0,0.2,0.8,0.0,1e-05,0.0,41.3,62.65,39.65,67.88,80.92,81.14
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.5)",6,64,0.0005,0.001,0.0001,8,4,64,"(0.2, 0.2, 0.2)",0.8,0.8,0.0,0.2,0.0,1e-05,0.0001,41.72,61.23,40.48,64.16,79.69,79.93
