hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
"(256, 32, 256)",64,16,32,4,32,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.4,0.0,0.0,0.4,0.001,0.0,0.001,49.83,49.27,28.18,58.25,75.32,76.44
"(64, 32, 64)",32,64,32,4,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.4,0.2,0.8,0.6,0.001,0.001,0.0001,48.0,44.89,30.5,62.28,76.67,79.97
"(256, 32, 256)",32,16,8,4,16,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.001,1.0,0.2,0.0,0.8,1e-05,0.0,0.0001,42.43,62.99,37.42,64.95,79.82,80.15
"(64, 32, 64)",256,16,16,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.6,0.2,0.2,0.2,0.0,0.0,1e-05,43.85,56.63,39.87,63.06,77.68,78.19
"(64, 16, 64)",128,16,16,4,8,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.005,1.0,0.4,0.0,0.2,1e-05,0.0,0.001,45.58,53.85,39.43,62.36,78.73,79.91
"(256, 32, 256)",128,64,16,4,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.2,0.4,1.0,0.6,1e-05,0.001,0.0001,40.83,64.87,39.04,67.75,81.79,81.97
"(128, 32, 128)",128,16,8,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.2,0.6,0.8,0.2,0.0001,0.001,0.0,41.05,64.55,38.12,66.96,81.66,82.27
"(128, 32, 128)",128,32,32,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.005,1.0,0.6,1.0,0.2,0.0,0.0,1e-05,42.13,62.43,36.5,66.26,81.58,81.63
"(128, 16, 128)",32,32,32,4,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.4,0.6,0.0,0.0,0.0,0.0001,1e-05,44.23,57.22,36.24,64.46,79.47,80.02
"(64, 16, 64)",32,32,16,5,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,1.0,0.0,0.4,0.6,0.0001,1e-05,1e-05,44.14,59.88,39.52,63.81,78.21,79.1
"(64, 16, 64)",64,128,32,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.4,0.0,0.8,1.0,0.001,0.0,0.0,46.45,56.05,32.78,62.23,77.02,77.48
"(64, 32, 64)",128,16,32,5,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.005,0.4,0.4,0.2,0.8,0.001,0.0,0.0001,47.8,53.79,28.93,62.71,77.9,79.27
"(128, 32, 128)",256,64,32,4,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.4,0.6,1.0,0.2,0.0001,0.001,0.0001,41.23,65.07,38.21,67.26,81.27,81.45
"(256, 32, 256)",128,32,32,5,32,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.002,0.2,0.8,1.0,0.8,1e-05,0.001,0.0001,43.89,59.41,35.27,64.51,80.04,80.65
"(128, 32, 128)",256,32,8,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,1.0,0.0,0.8,1.0,0.0001,0.0,0.001,46.88,54.61,30.24,61.75,77.42,79.1
"(64, 16, 64)",32,16,32,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.4,0.6,0.4,0.2,0.001,0.001,0.0001,44.41,57.98,36.94,64.68,79.61,80.32
"(64, 32, 64)",32,32,32,5,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.6,0.4,1.0,0.0,0.0001,0.0001,0.001,44.78,55.46,37.11,65.47,78.03,78.55
"(256, 32, 256)",256,32,16,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.4,0.8,0.4,0.8,0.0,0.0001,1e-05,42.16,62.66,35.67,66.83,81.05,81.26
"(128, 32, 128)",256,64,16,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.8,0.2,0.0,0.8,1e-05,0.0,0.001,43.4,61.32,35.4,63.37,79.17,79.88
"(256, 32, 256)",256,32,64,5,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.4,0.2,0.4,0.6,0.0,0.001,1e-05,42.25,61.72,37.68,67.0,79.74,79.93
"(64, 16, 64)",64,64,64,4,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.6,1.0,0.4,0.8,0.001,1e-05,0.0,44.07,59.16,34.4,63.89,80.53,80.96
"(128, 16, 128)",256,64,16,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.8,1.0,1.0,0.2,0.0,0.0,0.001,44.65,56.57,37.37,65.3,78.73,79.24
"(64, 32, 64)",32,32,8,5,16,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.8,0.6,0.8,0.8,0.0001,0.0,0.0,45.55,58.97,31.33,60.83,79.26,79.71
"(256, 32, 256)",256,128,8,5,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.4,0.4,0.8,0.6,0.001,0.0,0.0001,46.72,54.33,31.38,62.93,77.59,78.64
"(64, 32, 64)",64,16,64,4,16,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.4,0.6,1.0,0.4,0.0,0.001,0.0001,39.83,64.92,40.39,68.84,81.62,81.71
"(64, 16, 64)",64,32,16,5,32,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.6,0.2,0.2,0.2,1e-05,0.0,0.0001,50.89,34.03,29.28,50.33,74.14,79.79
"(256, 32, 256)",32,16,8,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.0005,0.2,0.4,0.8,0.6,1e-05,0.001,0.0001,42.99,61.89,34.31,63.15,80.88,81.16
"(256, 32, 256)",64,16,32,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.6,0.8,0.0,1.0,0.0,1e-05,0.0,41.6,64.21,37.29,65.69,80.66,80.83
"(128, 16, 128)",128,16,32,4,8,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.2,0.4,0.4,0.8,0.0,0.001,0.0001,42.19,61.81,37.51,66.39,80.31,80.42
"(128, 32, 128)",64,128,16,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.8,0.0,0.4,0.2,0.0001,0.001,0.0001,45.04,57.66,35.19,61.75,77.24,78.66
"(128, 16, 128)",64,16,32,4,32,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.6,0.0,0.0,0.8,0.001,0.0,0.001,50.71,42.43,27.31,61.05,76.19,79.59
"(64, 32, 64)",256,32,16,4,8,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.4,0.2,0.4,0.4,0.0001,0.001,1e-05,47.39,45.0,34.14,61.58,76.63,79.65
"(64, 16, 64)",32,16,16,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,1.0,0.0,0.4,0.2,1e-05,0.0,0.001,45.12,56.04,37.72,62.76,77.42,78.02
"(64, 16, 64)",256,16,16,5,16,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.002,1.0,1.0,0.0,0.2,1e-05,0.001,0.001,45.68,55.39,37.94,63.81,77.37,78.23
"(64, 32, 64)",64,128,32,5,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.8,0.8,0.0,0.0,0.0001,0.0001,1e-05,43.88,57.86,37.33,64.03,78.77,79.26
"(128, 16, 128)",128,32,8,5,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,1.0,1.0,0.6,0.6,0.001,0.0001,0.0,42.95,61.95,35.62,66.3,81.01,81.38
"(64, 16, 64)",128,32,8,4,8,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.4,0.6,0.0,0.2,0.0,0.0001,0.0,44.8,56.6,35.14,64.73,80.0,80.66
"(256, 32, 256)",256,128,32,4,32,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.8,0.6,0.8,0.4,1e-05,1e-05,0.0,43.01,60.92,35.23,63.28,80.44,80.89
"(64, 16, 64)",64,64,32,5,32,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.002,1.0,0.8,0.0,0.4,0.0,0.001,0.0001,42.16,62.66,36.02,66.0,80.83,81.16
"(128, 32, 128)",256,128,8,4,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.4,0.8,0.0,0.0,0.001,0.001,1e-05,45.17,57.39,33.26,62.67,78.95,79.75
"(128, 32, 128)",64,128,8,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.2,0.0,1.0,0.2,1e-05,0.0001,0.001,45.96,56.89,38.12,59.74,78.47,79.25
"(64, 32, 64)",128,128,64,5,32,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.4,1.0,0.6,0.8,0.0,0.0001,0.001,41.13,64.41,37.42,68.18,81.49,81.66
"(64, 32, 64)",128,32,16,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.2,0.8,0.6,1.0,0.0,1e-05,0.0,43.27,59.98,34.92,65.12,79.69,79.99
"(64, 16, 64)",64,16,32,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.005,0.6,1.0,0.8,0.4,0.001,1e-05,1e-05,48.85,51.82,27.4,59.61,77.72,79.34
"(64, 16, 64)",256,32,16,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.002,1.0,0.4,0.6,0.6,0.0001,0.001,0.0,42.49,62.61,36.98,64.99,79.96,80.6
"(64, 32, 64)",32,128,8,4,16,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.6,0.8,0.6,0.8,0.001,0.0,1e-05,41.74,63.71,36.67,66.65,80.61,81.08
"(64, 16, 64)",256,32,16,5,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.8,0.8,0.6,0.0,0.0001,0.001,0.001,49.54,41.88,31.68,58.91,75.32,78.99
"(256, 32, 256)",64,128,64,5,16,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.002,0.8,1.0,1.0,0.2,1e-05,1e-05,0.0,41.61,62.55,38.21,67.18,80.39,80.56
"(256, 32, 256)",128,128,8,4,16,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.8,0.6,0.6,0.2,1e-05,0.001,0.0001,43.35,61.7,37.29,65.16,79.65,80.43
"(128, 16, 128)",256,128,16,4,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.005,0.6,0.6,0.8,1.0,0.0001,0.0,0.001,42.14,60.71,40.31,66.3,79.61,80.0
"(128, 32, 128)",64,16,32,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.005,0.6,0.0,0.4,0.2,0.0,0.0,1e-05,44.85,58.99,34.05,64.16,79.39,79.98
"(128, 16, 128)",128,128,16,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.005,1.0,1.0,0.8,1.0,1e-05,0.0,1e-05,43.43,61.59,34.57,64.2,80.53,80.89
"(128, 32, 128)",64,16,64,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.8,0.4,1.0,0.6,1e-05,0.0001,0.0001,42.68,61.68,37.02,65.73,81.31,81.44
"(128, 16, 128)",64,128,64,5,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.4,0.0,0.6,0.0,1e-05,0.0,0.0001,43.71,61.11,35.62,65.51,79.52,79.99
"(256, 32, 256)",128,128,32,5,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.4,0.6,0.4,0.8,0.0,1e-05,0.0001,42.38,63.48,36.02,65.3,79.74,80.63
"(256, 32, 256)",32,16,64,5,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.6,0.0,0.6,0.2,0.0,1e-05,0.0001,44.06,60.21,34.66,63.02,77.99,78.96
"(64, 16, 64)",256,16,16,5,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.4,0.6,0.6,1.0,0.0,0.001,0.0001,43.07,60.67,38.73,66.08,78.95,79.22
"(64, 32, 64)",32,32,64,5,8,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,0.6,0.6,1.0,0.4,0.0,1e-05,0.0,43.37,59.63,35.14,62.71,80.18,80.52
"(64, 32, 64)",256,128,8,5,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.4,0.0,0.4,0.2,0.0001,1e-05,0.0,48.2,51.95,28.62,60.79,76.5,77.83
"(64, 16, 64)",256,32,8,5,8,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.8,0.0,0.8,0.8,1e-05,1e-05,0.001,43.97,57.33,40.53,64.2,78.16,78.63
"(64, 32, 64)",64,16,64,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.6,0.0,0.2,0.6,1e-05,1e-05,0.001,45.61,56.3,36.41,63.15,77.42,78.57
"(64, 16, 64)",64,64,64,5,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.001,1.0,0.8,0.4,0.6,0.001,0.001,0.0,44.23,58.17,37.33,63.59,78.42,79.02
"(128, 16, 128)",32,16,16,4,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.4,0.8,0.0,1.0,1e-05,0.0001,0.001,43.22,61.28,37.33,66.52,80.26,80.8
"(256, 32, 256)",128,16,32,5,32,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.4,0.0,0.8,0.2,0.0,1e-05,1e-05,41.9,63.14,38.03,66.56,80.74,81.15
"(256, 32, 256)",64,16,8,5,16,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,1.0,1.0,0.6,0.0,1e-05,1e-05,0.0001,46.36,55.5,31.6,58.95,78.29,78.51
"(64, 16, 64)",128,16,32,4,32,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.005,0.4,0.4,0.0,0.2,0.0,0.0001,1e-05,44.41,59.55,33.26,61.14,79.47,80.38
"(64, 16, 64)",256,128,64,4,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.2,0.0,0.0,0.6,0.0001,0.0001,0.001,45.53,56.63,34.18,63.11,77.77,79.66
"(128, 16, 128)",32,32,8,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.2,0.2,0.2,0.4,0.001,0.0001,1e-05,49.53,49.98,26.08,60.61,76.59,78.34
"(64, 16, 64)",32,64,64,5,16,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.001,0.4,1.0,0.8,1.0,1e-05,1e-05,0.0,42.63,60.49,37.37,64.95,79.17,79.43
"(64, 16, 64)",64,16,16,5,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.001,0.8,0.8,0.0,0.8,1e-05,0.0,0.0,42.95,60.49,36.76,65.16,80.0,80.29
"(256, 32, 256)",64,16,8,5,8,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.002,0.2,0.4,0.0,1.0,0.0001,0.0,0.0,44.76,59.31,33.3,62.01,79.87,80.03
