Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
mlf_dnn-T,"(74.44, 4.0)","(50.07, 17.56)","(28.58, 8.93)","(79.71, 1.67)","(51.59, 6.76)","(33.62, 23.5)"
mlf_dnn-A,"(67.79, 2.83)","(42.23, 14.24)","(19.65, 2.35)","(78.12, 6.13)","(58.33, 1.05)","(12.21, 5.89)"
mlf_dnn-V,"(76.89, 0.8)","(62.06, 0.77)","(25.78, 1.27)","(79.05, 0.81)","(50.74, 0.6)","(49.02, 1.08)"
mlf_dnn-M,"(80.04, 1.77)","(65.43, 1.17)","(35.97, 5.75)","(80.4, 1.89)","(43.95, 1.59)","(61.78, 0.87)"
mlf_dnn-MT,"(80.04, 0.78)","(66.52, 1.74)","(35.49, 4.41)","(80.25, 1.05)","(43.11, 1.69)","(63.34, 1.42)"
mlf_dnn-MA,"(76.85, 2.01)","(59.04, 7.15)","(30.33, 5.43)","(77.28, 2.21)","(46.98, 3.14)","(55.16, 6.89)"
mlf_dnn-MV,"(79.96, 1.16)","(63.76, 2.7)","(37.59, 2.73)","(80.38, 1.12)","(43.16, 1.14)","(61.87, 0.63)"
mlf_dnn-MAT,"(80.88, 2.43)","(66.39, 2.44)","(34.27, 2.98)","(81.1, 2.35)","(42.54, 1.96)","(64.16, 2.21)"
mlf_dnn-MVT,"(80.04, 3.37)","(65.95, 4.4)","(36.19, 7.33)","(80.87, 2.06)","(42.42, 6.4)","(60.66, 13.9)"
mlf_dnn-MAV,"(79.87, 1.13)","(64.42, 1.8)","(37.42, 2.27)","(80.32, 1.46)","(43.06, 0.66)","(62.95, 1.8)"
mlf_dnn-MTAV,"(82.28, 1.39)","(69.06, 3.13)","(38.03, 6.04)","(82.52, 1.35)","(40.64, 2.06)","(67.47, 1.8)"
