Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
mtfn-M,"(80.44, 1.15)","(65.47, 4.74)","(38.38, 3.89)","(80.47, 1.4)","(40.66, 2.21)","(64.08, 3.31)"
mtfn-T,"(75.36, 1.73)","(61.71, 3.89)","(38.42, 2.97)","(75.0, 2.02)","(45.9, 1.05)","(53.11, 1.93)"
mtfn-A,"(58.77, 14.43)","(39.96, 15.13)","(18.51, 2.83)","(68.89, 12.91)","(61.95, 5.26)","(5.2, 9.26)"
mtfn-V,"(77.29, 0.91)","(61.01, 1.8)","(30.81, 3.48)","(79.76, 0.29)","(52.36, 2.05)","(47.55, 3.16)"
