Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
lf_dnn-M,"(79.87, 0.62)","(66.91, 1.21)","(41.62, 1.4)","(80.2, 0.66)","(42.01, 0.93)","(61.23, 1.88)"
mlf_dnn-M,"(82.28, 1.39)","(69.06, 3.13)","(38.03, 6.04)","(82.52, 1.35)","(40.64, 2.06)","(67.47, 1.8)"
lmf-M,"(79.34, 0.49)","(64.38, 2.17)","(35.14, 4.63)","(79.96, 0.67)","(43.99, 1.61)","(60.0, 1.36)"
mlmf-M,"(82.32, 0.58)","(67.7, 2.29)","(37.33, 2.59)","(82.66, 0.73)","(42.03, 0.97)","(63.13, 1.91)"
tfn-M,"(80.66, 1.48)","(64.46, 1.79)","(38.38, 3.66)","(81.62, 1.15)","(42.52, 1.13)","(61.18, 1.21)"
mtfn-M,"(82.45, 1.34)","(69.02, 0.3)","(37.2, 1.86)","(82.56, 1.24)","(40.66, 1.12)","(66.98, 1.33)"
