,1,2,3,avg
MAE,0.9885883,1.0107734,1.0015738,1.00031183163325
Correlation Coefficient,0.6498758777199964,0.6356897790825435,0.6422080725332843,0.6425912431119415
mult_acc_7,0.33090379008746357,0.3294460641399417,0.33090379008746357,0.33041788143828965
mult_acc_5,0.37026239067055394,0.36443148688046645,0.3673469387755102,0.36734693877551017
F1 score,0.7734228306707298,0.739757983346946,0.7587026770285515,0.7572944970154091
Accuracy,0.7755102040816326,0.7419825072886297,0.760932944606414,0.7594752186588921
loss,0.988858699798584,1.011332392692566,1.0012590053469637,1.000483365946038
