,1,2,3,avg
MAE,1.1434282,1.0740858,1.1090378,1.1088505983352661
Correlation Coefficient,0.5260428853759763,0.5701166201413983,0.5336822683730119,0.5432805912967956
mult_acc_7,0.2755102040816326,0.30174927113702626,0.30029154518950435,0.292517006802721
mult_acc_5,0.3104956268221574,0.3396501457725947,0.3396501457725947,0.3299319727891156
F1 score,0.7057309540150996,0.7280404990708218,0.7198567927968671,0.7178760819609294
Accuracy,0.7084548104956269,0.7303206997084548,0.7215743440233237,0.7201166180758017
loss,1.1428757254467454,1.07355916638707,1.1091877984446148,1.1085408967594768
