,MAE,Correlation Coefficient,mult_acc_7,mult_acc_5,F1 score,Accuracy,loss
EF_LSTM,1.00031183163325,0.6425912431119415,0.33041788143828965,0.36734693877551017,0.7572944970154091,0.7594752186588921,1.000483365946038
LF_DNN,1.036947766939799,0.5842258332630331,0.32555879494655,0.3629737609329446,0.7419928493156833,0.7429543245869777,1.036519356476244
LMF,1.108850598335266,0.5432805912967956,0.292517006802721,0.3299319727891156,0.7178760819609294,0.7201166180758017,1.1085408967594768
MFN,1.0584905942281086,0.5889091530648489,0.31341107871720114,0.3459669582118561,0.7255113003520139,0.7278911564625851,1.0583502738050712
MULT,1.0445556640625,0.6285016285358628,0.34159378036929056,0.38969873663751214,0.7558642110104229,0.7580174927113702,1.0450665728990425
TFN,1.0646820863087971,0.5620679388850829,0.31000971817298345,0.3469387755102041,0.7145364766683823,0.7167152575315842,1.064724250819332
