,1,2,3,avg
MAE,1.0480626,1.0641855,1.0632237,1.0584905942281086
Correlation Coefficient,0.5907562407526267,0.591928279145426,0.5840429392964941,0.5889091530648489
mult_acc_7,0.3177842565597668,0.30903790087463556,0.31341107871720114,0.31341107871720114
mult_acc_5,0.3498542274052478,0.3396501457725947,0.34839650145772594,0.34596695821185613
F1 score,0.7356438732983455,0.7278009921031846,0.7130890356545119,0.7255113003520139
Accuracy,0.7376093294460642,0.7303206997084548,0.7157434402332361,0.7278911564625851
loss,1.0479421740354493,1.0641286317692247,1.0629800156105396,1.0583502738050712
