,1,2,3,avg
MAE,1.0357826,1.0100089,1.0878755,1.0445556640625
Correlation Coefficient,0.6310244446102383,0.6466574954120893,0.6078229455852605,0.6285016285358628
mult_acc_7,0.35131195335276966,0.35422740524781343,0.31924198250728864,0.34159378036929056
mult_acc_5,0.4008746355685131,0.4037900874635568,0.36443148688046645,0.38969873663751214
F1 score,0.760342097658487,0.7603066883348684,0.7469438470379134,0.7558642110104229
Accuracy,0.7623906705539358,0.7623906705539358,0.749271137026239,0.7580174927113702
loss,1.0358326171719752,1.0099188061647637,1.0894482953603877,1.0450665728990423
