,1,2,3,avg
MAE,1.0287638,1.0391998,1.0428797,1.036947766939799
Correlation Coefficient,0.5728145826969229,0.5958334673727792,0.5840294497193972,0.5842258332630331
mult_acc_7,0.33090379008746357,0.31924198250728864,0.32653061224489793,0.32555879494655
mult_acc_5,0.37755102040816324,0.35276967930029157,0.358600583090379,0.3629737609329446
F1 score,0.7316247156622155,0.7547676963198923,0.7395861359649419,0.7419928493156833
Accuracy,0.7317784256559767,0.7565597667638484,0.7405247813411079,0.7429543245869777
loss,1.02784495436868,1.039859387763711,1.0418537272963413,1.036519356476244
