,1,2,3,avg
MAE,1.0767511,1.061937,1.0553582,1.0646820863087971
Correlation Coefficient,0.5651922691881994,0.5614908490156661,0.5595206984513829,0.5620679388850829
mult_acc_7,0.31341107871720114,0.29737609329446063,0.31924198250728864,0.31000971817298345
mult_acc_5,0.3454810495626822,0.33527696793002915,0.36005830903790087,0.3469387755102041
F1 score,0.7116696478513957,0.7229840590629502,0.7089557230908008,0.7145364766683823
Accuracy,0.7142857142857143,0.7244897959183674,0.7113702623906706,0.7167152575315842
loss,1.0773157574409662,1.0606216136799302,1.0562353813370993,1.064724250819332
