Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
mlmf-M,"(80.53, 0.52)","(66.0, 2.08)","(37.51, 5.36)","(81.02, 0.62)","(42.73, 2.37)","(62.33, 3.4)"
mlmf-T,"(77.99, 0.58)","(59.17, 1.88)","(36.98, 1.86)","(78.45, 0.77)","(47.14, 1.46)","(51.91, 1.66)"
mlmf-A,"(53.79, 18.9)","(43.94, 10.98)","(19.21, 3.45)","(67.62, 16.93)","(63.99, 5.63)","(nan, nan)"
mlmf-V,"(74.84, 2.82)","(59.43, 2.71)","(28.45, 3.35)","(79.72, 1.11)","(53.59, 2.38)","(47.9, 1.66)"
