Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
mmult-M,"(78.6, 0.67)","(65.78, 1.24)","(40.04, 2.63)","(79.54, 0.96)","(45.27, 0.98)","(57.95, 0.88)"
mmult-T,"(75.67, 2.94)","(61.79, 1.18)","(38.51, 1.8)","(75.89, 3.8)","(46.17, 1.16)","(55.66, 1.71)"
mmult-A,"(71.6, 4.02)","(50.94, 4.23)","(32.95, 5.76)","(73.3, 6.39)","(51.85, 4.82)","(42.97, 11.29)"
mmult-V,"(78.25, 0.9)","(58.56, 4.93)","(36.32, 3.48)","(80.27, 0.34)","(48.97, 0.97)","(54.88, 1.79)"
