Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
ef_lstm-M,"(69.37, 0.0)","(51.73, 2.08)","(21.01, 0.2)","(81.91, 0.0)","(59.34, 0.3)","(-4.39, 2.83)"
mfn-M,"(77.86, 0.38)","(63.89, 1.95)","(39.39, 1.78)","(78.22, 0.42)","(45.19, 1.2)","(55.18, 2.03)"
mult-M,"(77.94, 0.94)","(65.03, 2.11)","(35.4, 2.87)","(79.1, 0.9)","(48.45, 2.65)","(55.94, 0.66)"
lf_dnn-M,"(79.87, 0.62)","(66.91, 1.21)","(41.62, 1.4)","(80.2, 0.66)","(42.01, 0.93)","(61.23, 1.88)"
lmf-M,"(79.34, 0.49)","(64.38, 2.17)","(35.14, 4.63)","(79.96, 0.67)","(43.99, 1.61)","(60.0, 1.36)"
tfn-M,"(80.66, 1.48)","(64.46, 1.79)","(38.38, 3.66)","(81.62, 1.15)","(42.52, 1.13)","(61.18, 1.21)"
