Model,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
mlmf-M,"(81.71, 1.29)","(67.61, 2.33)","(40.22, 5.55)","(82.04, 1.02)","(41.32, 1.42)","(64.74, 1.77)"
mlmf-T,"(77.59, 0.53)","(60.53, 2.65)","(35.1, 5.27)","(78.42, 1.01)","(46.52, 1.0)","(53.19, 1.34)"
mlmf-A,"(61.14, 15.27)","(44.64, 15.01)","(20.44, 2.77)","(73.16, 13.35)","(60.02, 1.77)","(nan, nan)"
mlmf-V,"(77.11, 0.47)","(61.53, 0.91)","(29.89, 3.26)","(77.94, 1.08)","(48.81, 1.13)","(50.65, 1.63)"
