hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
"(256, 32, 256)",32,64,16,4,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,0.4,0.2,0.0,1.0,1e-05,1e-05,0.0001,79.34,64.99,35.93,80.1,43.53,62.94
"(64, 32, 64)",64,64,64,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.0005,1.0,0.6,1.0,0.4,0.0,0.0,1e-05,74.4,54.31,28.8,79.84,51.63,36.39
"(128, 32, 128)",128,128,32,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.8,0.0,0.4,1.0,0.001,0.001,1e-05,76.32,60.09,26.17,77.22,50.17,49.45
"(64, 32, 64)",32,32,8,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.001,1.0,1.0,0.0,0.8,0.0,0.0,0.0001,81.31,68.01,35.75,81.67,42.15,65.95
"(128, 16, 128)",128,32,64,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.2,0.0,0.6,0.8,0.0001,0.0,0.0001,78.95,66.35,41.4,79.24,43.07,61.79
"(64, 32, 64)",128,128,8,5,32,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,1.0,0.6,0.2,1.0,0.001,0.001,1e-05,77.55,59.82,25.47,78.67,50.29,51.96
"(128, 32, 128)",64,64,64,4,32,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.2,0.4,0.8,0.4,0.001,0.0001,1e-05,78.86,64.03,32.74,79.55,45.45,56.77
"(128, 16, 128)",64,64,8,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.0005,0.4,1.0,0.8,1.0,0.001,0.001,0.0001,78.34,63.33,31.9,78.77,46.3,57.93
"(64, 16, 64)",256,16,32,4,32,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,0.2,0.6,0.6,0.4,0.001,1e-05,1e-05,75.84,60.83,29.37,79.15,48.88,48.06
"(128, 32, 128)",32,64,64,5,64,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",64,0.005,0.2,0.8,0.8,0.4,0.0001,0.0001,0.0,80.83,66.39,33.79,81.32,43.34,62.13
"(64, 32, 64)",256,128,8,5,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.005,1.0,0.2,0.6,0.4,0.0,1e-05,0.0001,80.35,66.91,42.76,80.81,41.64,62.93
"(64, 16, 64)",64,32,32,4,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.001,1.0,0.6,0.8,0.0,1e-05,0.0001,0.0,79.52,65.82,40.39,79.61,43.77,59.84
"(256, 32, 256)",128,128,8,4,16,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.0005,0.2,0.8,0.2,0.6,0.0001,1e-05,0.0001,79.96,66.13,36.85,79.96,42.61,61.62
"(64, 16, 64)",64,32,8,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.002,0.8,0.0,0.4,0.0,1e-05,1e-05,0.0,77.86,63.68,36.41,78.63,45.41,56.29
"(128, 32, 128)",256,64,8,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.001,1.0,1.0,0.6,0.2,0.001,1e-05,0.0001,81.49,67.44,42.1,81.81,40.19,65.45
"(64, 16, 64)",256,32,8,4,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.2,0.4,0.0,0.8,0.0001,0.001,0.0001,79.08,63.68,34.4,80.29,45.62,57.91
"(128, 16, 128)",128,32,32,5,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.4,0.2,0.2,0.8,0.0001,1e-05,0.0,77.9,63.06,33.79,78.83,45.48,57.51
"(128, 16, 128)",32,16,16,5,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.001,0.4,0.2,0.4,1.0,0.001,1e-05,0.001,76.72,60.22,23.81,78.44,51.11,48.76
"(128, 16, 128)",64,32,32,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.002,0.2,0.0,0.6,1.0,0.0001,0.0,1e-05,77.81,62.71,30.72,79.04,47.4,55.31
"(256, 32, 256)",128,16,64,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.005,0.4,0.6,0.4,0.8,0.0001,0.0,0.0001,80.18,67.83,39.26,80.41,41.14,64.55
"(128, 32, 128)",256,128,8,4,8,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.6,0.6,0.2,0.6,0.001,1e-05,0.0,77.77,63.76,32.82,78.52,45.65,55.83
"(64, 32, 64)",256,16,64,5,8,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.0005,0.6,0.8,0.0,0.6,0.001,0.001,0.0,79.08,60.04,34.92,79.88,44.63,59.73
"(64, 16, 64)",128,64,16,4,64,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.6,0.4,1.0,0.6,0.0001,0.0,1e-05,80.09,66.7,40.48,80.63,42.18,62.73
"(64, 16, 64)",64,128,64,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.8,0.8,0.6,0.4,0.0001,1e-05,0.0,80.35,67.66,41.58,80.32,40.54,64.5
"(256, 32, 256)",256,32,64,4,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.005,0.4,0.0,0.0,1.0,0.0001,0.0001,0.001,78.77,64.86,37.68,79.38,43.68,61.11
"(256, 32, 256)",32,32,16,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.2,1.0,0.6,1.0,0.001,0.001,1e-05,78.07,61.75,27.22,78.98,48.35,53.15
"(128, 16, 128)",128,64,16,5,16,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.001,1.0,0.2,1.0,0.8,0.0,0.0001,1e-05,79.61,64.9,38.47,80.57,44.02,61.11
"(256, 32, 256)",128,32,64,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",128,0.0005,0.4,0.4,0.4,0.8,0.0,0.0,0.0,80.53,67.83,42.01,80.86,41.27,63.02
"(256, 32, 256)",32,16,8,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",128,0.001,0.2,0.2,0.8,0.8,0.001,1e-05,0.0,76.81,61.79,28.4,77.74,48.45,53.34
"(128, 16, 128)",256,16,32,5,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.0005,0.8,1.0,1.0,1.0,0.001,0.0001,0.001,80.31,66.0,37.2,80.88,43.8,60.38
"(256, 32, 256)",32,32,16,4,64,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.4,1.0,0.8,0.0,1e-05,0.001,0.001,77.94,63.41,33.79,79.67,45.85,55.67
"(128, 16, 128)",256,32,8,4,32,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.4,0.8,0.6,0.0,0.0,1e-05,0.0,80.35,66.26,40.66,80.55,42.55,60.77
"(128, 32, 128)",256,16,16,4,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,0.4,0.2,0.0,0.2,0.001,1e-05,0.0,75.32,59.96,29.06,76.7,49.78,49.21
"(256, 32, 256)",256,16,32,5,64,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.002,1.0,0.6,0.6,0.2,0.0,0.0,0.001,78.95,65.95,42.58,78.93,42.58,58.98
"(64, 32, 64)",256,64,16,5,32,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",128,0.002,0.8,0.0,0.0,0.6,0.0,0.0001,0.001,78.95,65.03,41.44,79.46,43.53,58.46
"(256, 32, 256)",32,32,8,4,8,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.8,0.6,0.2,0.4,1e-05,0.0001,1e-05,80.31,65.69,38.56,80.66,42.49,63.1
"(64, 16, 64)",256,32,64,5,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",64,0.002,1.0,0.4,0.2,0.8,0.0,0.001,1e-05,79.78,65.65,40.66,80.36,43.52,60.25
"(64, 16, 64)",128,128,16,4,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.005,1.0,0.4,0.6,0.0,0.0,0.001,1e-05,80.61,65.38,37.24,81.03,43.41,61.95
"(128, 16, 128)",32,16,16,5,16,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",128,0.0005,0.8,1.0,1.0,0.2,0.0001,0.001,0.0,81.36,68.27,37.16,81.42,41.64,65.29
"(64, 32, 64)",128,128,64,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.4,0.0,0.4,0.2,0.0,1e-05,1e-05,79.39,65.08,39.87,80.01,44.35,59.12
"(256, 32, 256)",256,64,32,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",128,0.001,0.2,0.0,0.0,0.0,0.001,0.0001,0.001,72.04,44.81,20.09,79.27,56.55,25.49
"(128, 32, 128)",128,16,8,5,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.8,0.4,0.0,0.0,1e-05,0.0,1e-05,79.56,65.51,41.44,80.36,42.08,60.89
"(128, 32, 128)",128,128,32,5,64,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",128,0.001,0.2,0.8,0.6,0.8,0.001,1e-05,0.001,80.61,66.78,36.32,81.14,43.08,63.31
"(64, 16, 64)",256,64,8,4,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.001,0.4,1.0,0.2,0.0,0.0,0.001,1e-05,79.91,64.51,38.16,80.4,44.07,59.64
"(64, 16, 64)",32,128,16,5,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.005,0.8,0.8,0.0,1.0,0.001,1e-05,1e-05,77.24,61.58,28.01,78.67,49.42,49.74
