hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
"(64, 32, 64)",128,16,64,4,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.2,0.8,0.8,0.2,0.001,1e-05,0.001,74.92,51.77,27.22,77.53,52.12,46.81
"(64, 32, 64)",128,32,16,5,32,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.6,0.6,0.4,0.0,1e-05,0.0,0.0001,79.39,65.51,38.21,79.71,43.8,60.68
"(128, 16, 128)",32,32,16,4,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.0005,0.6,0.6,0.4,0.0,0.001,0.0,1e-05,77.68,61.58,30.11,78.28,48.15,53.32
"(128, 32, 128)",32,32,64,5,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.8,1.0,0.6,0.4,0.0001,0.0001,0.0,80.35,67.4,40.88,80.7,40.96,64.08
"(64, 16, 64)",64,32,16,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.8,1.0,0.2,1.0,1e-05,0.001,0.0001,79.47,63.98,35.14,80.06,43.69,61.31
"(64, 16, 64)",128,128,32,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.002,1.0,0.6,0.4,0.6,0.0,0.0,0.001,79.43,64.6,39.91,80.27,43.38,60.42
"(64, 16, 64)",256,64,64,4,64,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.6,0.2,0.4,0.0,1e-05,0.0,1e-05,78.34,63.94,37.77,79.22,44.87,58.74
"(64, 16, 64)",256,64,8,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,0.2,1.0,1.0,0.6,0.0001,0.0,0.0001,80.13,65.95,38.6,80.36,42.34,60.92
"(64, 16, 64)",32,64,8,5,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",128,0.005,0.2,0.2,0.0,0.0,0.0,0.0,0.001,76.89,53.22,33.35,80.0,49.37,41.35
"(128, 16, 128)",32,128,32,5,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.0005,0.8,0.6,0.4,0.2,0.0,0.0,0.0,81.84,67.79,39.08,82.03,41.65,64.63
"(256, 32, 256)",128,128,32,4,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.8,0.6,1.0,0.4,1e-05,0.001,0.0001,80.39,67.05,39.78,80.92,42.39,61.74
"(64, 16, 64)",256,64,64,5,32,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.6,0.0,0.2,0.0,0.0001,0.0001,0.0001,79.12,64.51,40.61,79.84,43.92,60.1
"(64, 32, 64)",128,128,32,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.002,0.8,0.8,0.4,0.2,0.001,0.001,0.0001,78.21,63.94,35.32,79.01,45.02,57.22
"(256, 32, 256)",64,32,64,5,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.8,0.2,0.8,0.2,0.0001,0.0,0.0,78.64,63.24,32.3,79.62,46.01,57.14
"(64, 16, 64)",64,32,64,4,64,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.001,1.0,0.8,0.6,0.0,0.0001,0.0,1e-05,80.66,67.48,39.87,80.99,42.87,61.43
