hidden_dims,text_out,post_fusion_dim,post_text_dim,post_audio_dim,post_video_dim,dropouts,post_dropouts,batch_size,learning_rate,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
"(128, 32, 128)",128,32,32,5,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.005,0.2,0.0,1.0,0.8,0.0001,0.0001,0.0,75.71,58.03,25.12,77.75,52.11,43.1
"(256, 32, 256)",64,64,16,4,8,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.001,1.0,0.6,0.0,0.4,0.0,1e-05,1e-05,80.31,65.86,36.41,80.71,43.28,59.95
"(64, 32, 64)",32,128,16,5,8,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.6,0.2,0.6,0.6,1e-05,0.0001,0.0001,80.04,64.07,36.67,81.16,43.27,62.08
"(64, 32, 64)",128,64,32,5,32,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.2,0.2,0.4,0.2,1e-05,0.0,0.0001,81.18,65.82,35.49,81.6,41.8,64.6
"(64, 16, 64)",32,128,16,4,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,1.0,0.4,0.0,0.6,1e-05,0.0,1e-05,80.13,65.86,39.56,80.45,42.33,61.65
"(64, 16, 64)",32,16,16,5,8,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.4,1.0,0.8,0.2,0.0,0.0001,0.0,78.6,63.28,36.67,78.67,43.24,59.53
"(256, 32, 256)",64,16,32,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.005,1.0,0.6,0.0,0.2,0.001,1e-05,1e-05,75.97,57.72,26.83,77.33,50.31,47.46
"(128, 16, 128)",64,16,64,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.002,0.8,0.4,0.0,0.8,0.001,0.0001,0.001,75.75,60.39,29.76,79.31,49.86,43.66
"(256, 32, 256)",64,64,32,5,64,"(0.4, 0.4, 0.4)","(0.2, 0.2, 0.2, 0.2)",64,0.005,0.2,0.4,0.4,1.0,0.001,1e-05,0.0001,77.33,59.39,26.96,78.79,49.57,49.94
"(64, 32, 64)",32,32,32,4,8,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,1.0,1.0,0.8,0.6,1e-05,1e-05,0.0,79.47,65.78,35.27,79.89,43.55,60.28
"(64, 32, 64)",32,16,32,4,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,1.0,0.2,0.8,0.8,0.001,0.001,0.0,77.68,63.72,32.69,78.3,45.85,56.52
"(128, 32, 128)",256,16,8,4,16,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.0005,0.6,1.0,1.0,0.2,1e-05,1e-05,0.001,79.21,66.04,38.21,79.7,43.07,59.61
"(64, 16, 64)",128,64,64,4,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.4,0.4,0.0,1.0,0.001,0.0001,0.0,79.87,62.49,34.22,80.61,43.88,60.26
"(128, 32, 128)",64,32,8,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",32,0.0005,0.2,0.8,0.8,0.6,0.0001,0.0,0.0001,77.99,58.95,29.8,78.57,47.03,53.65
"(64, 32, 64)",256,128,64,4,64,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,0.6,0.8,1.0,0.6,0.0001,1e-05,0.001,79.47,61.4,34.88,79.81,44.53,57.42
"(64, 16, 64)",256,128,64,5,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.4,0.0,0.6,0.0,0.0,1e-05,0.0001,77.02,61.4,38.69,78.83,44.83,55.74
"(256, 32, 256)",256,32,64,5,16,"(0.2, 0.2, 0.2)","(0.4, 0.4, 0.4, 0.4)",32,0.005,0.8,1.0,0.2,0.0,1e-05,0.001,0.0,80.04,63.81,35.36,80.43,43.76,59.14
"(128, 32, 128)",32,128,64,5,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.002,0.4,0.0,1.0,1.0,0.0001,0.001,1e-05,77.86,63.5,34.7,78.52,44.69,58.0
"(64, 32, 64)",64,16,16,4,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.2,1.0,0.2,0.8,0.0,0.001,0.0,77.55,64.95,35.27,77.55,43.14,60.79
"(256, 32, 256)",256,64,64,5,64,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",64,0.001,0.2,0.2,0.6,1.0,0.001,0.0001,0.001,75.49,57.64,24.6,79.32,52.13,38.68
"(128, 16, 128)",256,16,32,4,16,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.0005,0.2,0.2,0.0,1.0,0.0,0.0001,0.0001,78.51,62.89,34.35,78.68,45.17,56.87
"(64, 32, 64)",32,64,64,5,32,"(0.3, 0.3, 0.3)","(0.3, 0.3, 0.3, 0.3)",32,0.001,0.2,0.6,0.0,0.0,0.0,0.0001,0.0001,77.33,61.09,32.21,80.23,47.56,47.37
"(256, 32, 256)",128,32,64,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.002,0.6,0.0,1.0,0.0,1e-05,0.0001,0.001,78.21,62.49,36.94,78.69,44.35,58.07
"(128, 16, 128)",64,16,8,4,16,"(0.2, 0.2, 0.2)","(0.3, 0.3, 0.3, 0.3)",32,0.005,1.0,0.2,0.4,0.2,0.0,0.001,0.0001,80.44,65.6,38.38,81.0,43.5,61.73
"(128, 16, 128)",256,16,64,5,32,"(0.4, 0.4, 0.4)","(0.5, 0.5, 0.5, 0.5)",32,0.005,1.0,1.0,0.0,0.6,1e-05,0.001,0.001,79.52,64.51,40.53,80.32,44.06,56.71
"(128, 32, 128)",128,64,32,4,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.005,1.0,0.2,1.0,0.0,0.001,0.0,0.001,76.59,58.82,26.39,78.33,50.42,48.68
"(64, 32, 64)",256,128,16,5,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.001,0.8,1.0,0.2,0.4,0.001,0.0001,0.0001,79.3,63.19,34.97,79.59,43.47,59.91
"(256, 32, 256)",256,64,16,4,16,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.001,0.2,0.2,0.4,0.4,0.0,0.001,1e-05,80.18,63.68,31.95,81.09,45.09,61.09
"(64, 32, 64)",128,64,8,5,64,"(0.3, 0.3, 0.3)","(0.2, 0.2, 0.2, 0.2)",32,0.002,0.6,0.2,0.4,1.0,0.0001,0.0001,0.001,78.47,64.6,37.02,79.48,43.25,61.32
"(128, 16, 128)",64,64,8,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.4,0.8,0.6,1.0,0.0001,0.0,0.001,79.78,63.02,36.5,80.66,43.44,59.85
"(256, 32, 256)",256,16,32,4,16,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",64,0.001,0.2,0.4,0.4,0.6,0.0001,0.0001,0.001,80.0,64.42,33.17,80.44,45.25,56.76
"(64, 16, 64)",256,32,8,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.0005,0.4,0.8,0.2,0.2,0.001,0.001,0.0,79.08,63.68,36.89,79.55,42.65,62.09
"(64, 16, 64)",64,64,64,5,8,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",64,0.002,0.2,0.4,0.0,0.0,1e-05,0.001,1e-05,79.82,63.46,37.2,80.31,43.69,58.39
"(64, 32, 64)",128,16,16,5,64,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.005,1.0,0.4,0.4,0.6,0.001,0.0001,0.0,77.51,61.97,29.93,78.5,47.89,52.13
"(64, 32, 64)",128,16,32,4,16,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.002,0.8,0.0,0.6,0.4,1e-05,0.0,0.0,79.56,63.06,34.18,80.13,43.13,61.56
"(128, 16, 128)",256,128,32,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.8,0.2,0.8,0.4,0.001,0.0,0.0001,76.94,62.14,30.98,78.33,47.88,50.6
"(128, 32, 128)",32,32,16,4,16,"(0.3, 0.3, 0.3)","(0.4, 0.4, 0.4, 0.4)",64,0.005,0.6,1.0,0.0,0.6,0.0,0.0,0.0001,80.61,64.86,35.97,81.59,43.02,62.25
"(64, 32, 64)",256,64,32,5,64,"(0.4, 0.4, 0.4)","(0.4, 0.4, 0.4, 0.4)",32,0.002,1.0,0.6,0.6,0.0,0.0001,0.0,1e-05,80.31,65.95,39.52,80.71,42.28,61.49
"(64, 16, 64)",64,32,64,5,8,"(0.2, 0.2, 0.2)","(0.5, 0.5, 0.5, 0.5)",64,0.005,0.4,0.0,0.6,0.4,1e-05,0.0,0.0001,78.29,61.97,32.74,79.75,44.59,60.35
"(128, 32, 128)",256,32,64,4,8,"(0.3, 0.3, 0.3)","(0.5, 0.5, 0.5, 0.5)",32,0.005,0.8,0.2,0.2,1.0,0.0,0.001,0.0,78.73,64.38,34.31,79.21,43.9,59.91
"(64, 32, 64)",32,16,32,4,64,"(0.4, 0.4, 0.4)","(0.3, 0.3, 0.3, 0.3)",32,0.002,1.0,0.8,0.6,0.0,1e-05,0.0001,0.001,79.04,64.73,39.34,79.19,43.24,59.24
"(128, 32, 128)",32,64,8,4,8,"(0.2, 0.2, 0.2)","(0.2, 0.2, 0.2, 0.2)",32,0.005,1.0,0.4,0.8,0.6,0.0,0.0,0.0001,80.18,64.68,37.99,80.47,41.6,64.01
