hidden_dims,dropouts,rank,batch_size,learning_rate,factor_lr,weight_decay,post_text_dim,post_audio_dim,post_video_dim,post_dropouts,M,T,A,V,text_weight_decay,audio_weight_decay,video_weight_decay,Mult_acc_2,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr
"(128, 16, 128)","(0.4, 0.4, 0.4, 0.4)",3,64,0.0005,0.001,0.0001,16,4,32,"(0.2, 0.2, 0.2)",0.6,0.8,0.2,0.4,0.0,0.001,0.0001,79.78,64.46,34.53,80.32,43.89,59.67
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",5,64,0.001,0.0001,0.0001,32,5,64,"(0.3, 0.3, 0.3)",0.6,0.4,1.0,0.6,1e-05,0.0,0.001,79.47,62.84,35.19,79.94,43.98,58.96
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",5,32,0.0005,0.0001,0.0001,32,4,16,"(0.2, 0.2, 0.2)",0.8,0.4,0.6,0.0,0.001,1e-05,1e-05,79.43,63.54,34.7,79.88,44.02,61.5
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",6,128,0.0005,0.001,0.001,8,5,8,"(0.2, 0.2, 0.2)",0.2,0.8,0.2,0.4,0.0001,0.0001,0.0001,81.44,66.21,37.55,81.9,41.96,63.76
"(128, 16, 128)","(0.2, 0.2, 0.2, 0.2)",6,64,0.0005,0.0005,0.001,8,4,32,"(0.4, 0.4, 0.4)",0.8,1.0,0.0,0.8,0.001,0.001,0.0001,81.36,66.96,36.89,81.68,41.56,64.65
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.3)",5,32,0.002,0.0001,0.005,8,5,64,"(0.5, 0.5, 0.5)",0.6,0.6,0.8,0.4,0.001,1e-05,0.0,80.0,63.28,32.56,80.87,44.77,60.54
"(64, 32, 64)","(0.3, 0.3, 0.3, 0.5)",3,64,0.005,0.0005,0.005,8,5,8,"(0.4, 0.4, 0.4)",0.4,0.0,0.8,0.6,0.0001,0.0,1e-05,77.37,63.06,30.94,78.28,46.3,57.02
"(128, 16, 128)","(0.3, 0.3, 0.3, 0.3)",4,64,0.0005,0.001,0.0001,64,4,64,"(0.2, 0.2, 0.2)",0.4,0.4,0.4,0.0,0.0,1e-05,0.0001,78.69,64.25,38.21,79.06,43.63,58.06
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.3)",6,128,0.002,0.001,0.001,32,5,16,"(0.4, 0.4, 0.4)",0.6,0.0,0.8,0.6,1e-05,0.0,0.0,79.34,65.3,39.08,80.11,43.17,60.46
"(64, 32, 64)","(0.4, 0.4, 0.4, 0.4)",5,64,0.005,0.001,0.001,64,4,64,"(0.5, 0.5, 0.5)",1.0,0.8,0.2,0.0,0.001,0.0001,0.0001,78.38,61.58,30.02,79.9,46.32,56.43
"(64, 16, 64)","(0.3, 0.3, 0.3, 0.5)",3,64,0.002,0.0005,0.001,16,4,8,"(0.4, 0.4, 0.4)",0.2,1.0,0.4,0.6,0.0,0.0001,0.0,79.21,65.16,40.09,79.5,41.7,61.2
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",3,64,0.005,0.0005,0.001,8,4,8,"(0.2, 0.2, 0.2)",1.0,0.6,1.0,0.2,0.0,0.0,0.0001,78.38,61.75,34.66,79.26,46.18,55.19
"(128, 32, 128)","(0.3, 0.3, 0.3, 0.5)",5,32,0.002,0.0001,0.0001,8,5,8,"(0.2, 0.2, 0.2)",0.2,0.6,0.4,0.6,1e-05,0.001,0.0,79.78,66.08,37.16,80.1,42.44,62.01
"(256, 32, 256)","(0.2, 0.2, 0.2, 0.2)",3,64,0.0005,0.0005,0.001,32,4,8,"(0.2, 0.2, 0.2)",0.6,0.0,0.2,0.4,1e-05,0.0001,0.0001,79.78,65.86,34.14,80.77,44.5,60.62
"(64, 16, 64)","(0.2, 0.2, 0.2, 0.2)",6,128,0.005,0.0001,0.0001,16,5,8,"(0.2, 0.2, 0.2)",1.0,0.6,0.0,0.4,1e-05,0.0,0.0001,80.18,66.96,39.87,80.47,41.74,63.52
"(64, 32, 64)","(0.2, 0.2, 0.2, 0.2)",4,32,0.001,0.0005,0.001,16,5,8,"(0.4, 0.4, 0.4)",0.8,0.4,0.2,0.6,0.001,0.001,0.0001,80.66,65.47,35.84,81.48,42.01,65.33
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",4,64,0.002,0.0005,0.005,8,4,16,"(0.5, 0.5, 0.5)",0.8,0.6,0.0,0.0,0.0,0.001,0.001,77.68,61.36,39.08,78.76,44.73,57.55
"(256, 32, 256)","(0.3, 0.3, 0.3, 0.3)",3,64,0.002,0.001,0.005,8,4,16,"(0.5, 0.5, 0.5)",0.2,0.0,1.0,0.8,1e-05,0.0,0.0,79.47,65.34,37.37,80.18,43.0,62.42
"(256, 32, 256)","(0.4, 0.4, 0.4, 0.4)",4,128,0.002,0.0005,0.001,8,4,8,"(0.3, 0.3, 0.3)",0.8,0.6,0.2,1.0,1e-05,0.001,0.0,81.01,65.56,37.02,81.44,43.82,59.9
