Model,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
mtfn-M,"(40.83, 0.59)","(64.87, 1.73)","(39.04, 2.5)","(67.75, 1.46)","(81.79, 1.25)","(81.97, 1.38)"
mtfn-T,"(44.87, 0.49)","(55.02, 0.93)","(38.34, 2.54)","(60.53, 0.94)","(76.54, 2.1)","(76.61, 2.64)"
mtfn-A,"(60.77, 2.9)","(nan, nan)","(18.34, 2.68)","(37.9, 13.67)","(52.17, 17.65)","(63.25, 14.02)"
mtfn-V,"(50.38, 2.32)","(47.36, 2.82)","(28.49, 2.61)","(60.96, 1.02)","(76.19, 0.97)","(76.85, 1.23)"
