Model,MAE,Corr,Mult_acc_5,Mult_acc_3,Mult_acc_2,F1_score
mlmf-M,"(41.64, 1.84)","(66.37, 2.23)","(35.54, 3.49)","(67.48, 2.06)","(82.32, 1.14)","(82.69, 0.81)"
mlmf-T,"(47.5, 2.38)","(54.42, 1.41)","(31.07, 5.69)","(58.42, 4.2)","(76.81, 1.22)","(77.75, 1.56)"
mlmf-A,"(60.03, 1.75)","(nan, nan)","(20.79, 2.98)","(45.6, 15.36)","(61.27, 15.33)","(74.03, 13.67)"
mlmf-V,"(49.91, 0.75)","(48.19, 2.0)","(28.93, 1.84)","(60.44, 1.52)","(76.37, 1.36)","(77.51, 1.15)"
